stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
cross_grid_upper_extension,2.0,680.0,485.0,835.239486614468,1.0,1.0,0.0,1.0,0.24792380568433783,0.24792380568433783,1.0,0.3603658536585366,0.3603658536585366,70.30989156691155,81.2111048094325,151.42536536482845,163.0964092777725,187.8299474263114,0.0,36.89689878489648,0.10233487872068803,4920,41
cross_grid_upper_extension,2.0,682.0,485.0,836.8685679364472,1.0,1.0,0.0,1.0,0.24874353288987436,0.24874353288987436,1.0,0.35995934959349596,0.35995934959349596,70.05990176799446,81.00503828655582,150.96053871389103,162.60656742206993,187.28037903091825,0.0,36.830864356387785,0.10244574346569912,4920,41
cross_grid_upper_extension,2.0,684.0,485.0,838.4992546210163,1.0,1.0,0.0,1.0,0.24953638379359,0.24953638379359,1.0,0.3595528455284553,0.3595528455284553,69.81089609936659,80.80004392591984,150.49670783892037,162.11772903270477,186.73186908578194,0.0,36.765219669176545,0.10281865215346368,4920,41
cross_grid_upper_extension,2.0,686.0,485.0,840.1315373201985,1.0,1.0,0.0,1.0,0.24952294564267957,0.24952294564267957,1.0,0.3567073170731707,0.3567073170731707,69.56287506611179,80.596496329984,150.0338727820208,161.6298940782499,186.18441740853464,0.0,36.699724302578375,0.10358462675535847,4920,41
cross_grid_upper_extension,2.0,688.0,485.0,841.7654067494102,1.0,1.0,0.0,1.0,0.25407511926358933,0.25407511926358933,1.0,0.35995934959349596,0.35995934959349596,69.3158391731401,80.39376919354521,149.59560660916557,161.14306253197645,185.63802382106698,0.0,36.63421842080115,0.10423301753678693,4920,41
cross_grid_upper_extension,2.0,690.0,485.0,843.4008536870235,1.0,1.0,0.0,1.0,0.2583282940267419,0.2583282940267419,1.0,0.36402439024390243,0.36402439024390243,69.08337398040352,80.19186285991576,149.16417762067968,160.65723437187557,185.09268814954814,0.0,36.568698302841405,0.1041792649331452,4920,41
cross_grid_upper_extension,2.0,692.0,485.0,845.0378689739294,1.0,1.0,0.0,1.0,0.2508264462809917,0.2508264462809917,1.0,0.3532520325203252,0.3532520325203252,68.85964588124034,79.9907757811695,148.73362168755443,160.17240958069476,184.54841022444978,0.0,36.50317623786698,0.10412551232950346,4920,41
cross_grid_upper_extension,2.0,694.0,485.0,846.6764435131049,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.35,0.35,68.63675680166554,79.79051017746546,148.30393890076465,159.6885881459509,184.00518988057095,0.0,36.43795570110381,0.10444130887589867,4920,41
cross_grid_upper_extension,2.0,696.0,485.0,848.316568269181,1.0,1.0,0.0,1.0,0.25,0.25,1.0,0.35,0.35,68.41470726567847,79.59110817759768,147.8751293556613,159.2057700599618,183.4630269570499,0.0,36.37314005360591,0.10459920714909629,4920,41
cross_grid_upper_extension,2.0,698.0,485.0,849.9582342680139,1.0,1.0,0.0,1.0,0.24866962305986695,0.24866962305986695,1.0,0.3463414634146341,0.3463414634146341,68.19349779731938,79.39337830013739,147.44719315199256,158.7239553198727,182.9219212974137,0.0,36.308576228134626,0.10542565343008801,4920,41
