stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
final_refine_1m,1.0,630.0,459.0,779.4748231982865,1.0,1.0,0.0,1.0,0.24621389539422325,0.24621389539422325,1.0,0.4015873015873016,0.4015873015873016,78.73798556448243,90.05732936371831,171.58135162607266,184.45628068982873,212.37936896918384,0.0,40.04680840949704,0.08990372105126203,1260,9
final_refine_1m,1.0,630.0,460.0,780.0640999302557,1.0,1.0,0.0,1.0,0.24652615144418424,0.24652615144418424,1.0,0.4031746031746032,0.4031746031746032,78.66009947652934,89.95147253317313,171.26888358843058,184.12017449369,211.9480529095423,0.0,39.996539932315414,0.09047619047619047,1260,9
final_refine_1m,1.0,630.0,461.0,780.6542128240902,1.0,1.0,0.0,1.0,0.2466822794691647,0.2466822794691647,1.0,0.403968253968254,0.403968253968254,78.58275187942058,89.84626408040353,170.95818061907232,183.78591404889033,211.51918361323033,0.0,39.94638100544717,0.09047619047619047,1260,9
final_refine_1m,1.0,630.0,462.0,781.2451599850075,1.0,1.0,0.0,1.0,0.2468384074941452,0.2468384074941452,1.0,0.40476190476190477,0.40476190476190477,78.50593873378367,89.74169943422018,170.64922943988927,183.4534857566582,211.09274210940416,0.0,39.89633129478417,0.09047619047619047,1260,9
final_refine_1m,1.0,630.0,463.0,781.836939521279,1.0,1.0,0.0,1.0,0.24715066354410617,0.24715066354410617,1.0,0.40634920634920635,0.40634920634920635,78.42965603960684,89.63777406603263,170.34201690409154,183.12287615022154,210.66870962122286,0.0,39.84639046762163,0.09047619047619047,1260,9
final_refine_1m,1.0,630.0,464.0,782.4295495442385,1.0,1.0,0.0,1.0,0.24730679156908666,0.24730679156908666,1.0,0.40714285714285714,0.40714285714285714,78.35389983577262,89.53448348935615,170.0365299945989,182.7940718932077,210.24706756339853,0.0,39.796558192649684,0.09047619047619047,1260,9
final_refine_1m,1.0,630.0,465.0,783.0229881682912,1.0,1.0,0.0,1.0,0.24746291959406713,0.24746291959406713,1.0,0.40793650793650793,0.40793650793650793,78.27866619959524,89.43182325932396,169.73275582243653,182.46705977806232,209.82779753974748,0.0,39.746834139945015,0.09047619047619047,1260,9
final_refine_1m,1.0,630.0,466.0,783.6172535109216,1.0,1.0,0.0,1.0,0.2477751756440281,0.2477751756440281,1.0,0.4095238095238095,0.4095238095238095,78.20395124636303,89.32978897220757,169.43068162517895,182.14182672452137,209.41088134079814,0.0,39.69721798096257,0.09104865990111892,1260,9
final_refine_1m,1.0,630.0,467.0,784.2123436927017,1.0,1.0,0.0,1.0,0.2479313036690086,0.2479313036690086,1.0,0.4103174603174603,0.4103174603174603,78.12975112889646,89.2283762649429,169.14766972113952,181.81835977806128,208.99630094142972,0.0,39.64770938852739,0.09104865990111892,1260,9
final_refine_1m,1.0,630.0,468.0,784.808256837299,1.0,1.0,0.0,1.0,0.24808743169398906,0.24808743169398906,1.0,0.4111111111111111,0.4111111111111111,78.05606203709807,89.12758081466326,168.86670315944232,181.4966461083918,208.58403849855026,0.0,39.59830803682638,0.09104865990111892,1260,9
