candidate,epsilon_step,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
local_area_best,0.1,epsilon_convergence,0.0,690.0,468.0,833.7409669675588,1.0,1.0,0.0,1.0,0.25172407806097646,0.25172407806097646,1.0,0.35525210084033615,0.35525210084033615,69.19613761257244,80.70836206740188,151.38995337831537,163.0197432632425,188.22235348828454,0.0,37.19596607224556,0.10153830127092159,4760,21
local_area_best,0.05,epsilon_convergence,0.0,690.0,468.0,833.7409669675588,1.0,1.0,0.0,1.0,0.25172407806097646,0.25172407806097646,1.0,0.35525210084033615,0.35525210084033615,69.19613761257244,80.70838987645067,151.38995337831537,163.0197432632425,188.22235348828454,0.0,37.19596607224556,0.10153830127092159,4760,41
local_area_best,0.02,epsilon_convergence,0.0,690.0,468.0,833.7409669675588,1.0,1.0,0.0,1.0,0.25172407806097646,0.25172407806097646,1.0,0.35525210084033615,0.35525210084033615,69.19613761257244,80.70841038866419,151.38995337831537,163.0197432632425,188.22235348828454,0.0,37.19596607224556,0.10153830127092159,4760,101
local_area_best,0.01,epsilon_convergence,0.0,690.0,468.0,833.7409669675588,1.0,1.0,0.0,1.0,0.25172407806097646,0.25172407806097646,1.0,0.35525210084033615,0.35525210084033615,69.19613761257244,80.70841611878666,151.38995337831537,163.0197432632425,188.22235348828454,0.0,37.19596607224556,0.10153830127092159,4760,201
local_uniform_best,0.1,epsilon_convergence,0.0,550.0,400.0,680.0735254367721,1.0,1.0,0.0,1.0,0.22459024932286964,0.22459024932286964,1.0,0.4632352941176471,0.4632352941176471,96.19768223753032,107.9556367709306,211.2354392872764,227.91714034531705,269.9283139432657,0.0,45.70690085181946,0.06896485867074102,4760,21
local_uniform_best,0.05,epsilon_convergence,0.0,550.0,400.0,680.0735254367721,1.0,1.0,0.0,1.0,0.22459024932286964,0.22459024932286964,1.0,0.4632352941176471,0.4632352941176471,96.19768223753032,107.9556473269199,211.2354392872764,227.91714034531705,269.9283139432657,0.0,45.70690085181946,0.06896485867074102,4760,41
local_uniform_best,0.02,epsilon_convergence,0.0,550.0,400.0,680.0735254367721,1.0,1.0,0.0,1.0,0.22459024932286964,0.22459024932286964,1.0,0.4632352941176471,0.4632352941176471,96.19768223753032,107.95565545301837,211.2354392872764,227.91714034531705,269.9283139432657,0.0,45.70690085181946,0.06896485867074102,4760,101
local_uniform_best,0.01,epsilon_convergence,0.0,550.0,400.0,680.0735254367721,1.0,1.0,0.0,1.0,0.22459024932286964,0.22459024932286964,1.0,0.4632352941176471,0.4632352941176471,96.19768223753032,107.95565794346187,211.2354392872764,227.91714034531705,269.9283139432657,0.0,45.70690085181946,0.06896485867074102,4760,201
previous_validation_best,0.1,epsilon_convergence,0.0,690.0,462.0,830.3878611829534,1.0,1.0,0.0,1.0,0.2520435446906035,0.2520435446906035,1.0,0.35483193277310926,0.35483193277310926,69.48030231676051,81.19621843329371,152.8475061363071,164.60028624055454,190.3760858629235,0.0,37.49222448730098,0.10056080283353011,4760,21
previous_validation_best,0.05,epsilon_convergence,0.0,690.0,462.0,830.3878611829534,1.0,1.0,0.0,1.0,0.2520435446906035,0.2520435446906035,1.0,0.35483193277310926,0.35483193277310926,69.48030231676051,81.19624363634401,152.8475061363071,164.60028624055454,190.3760858629235,0.0,37.49222448730098,0.10056080283353011,4760,41
previous_validation_best,0.02,epsilon_convergence,0.0,690.0,462.0,830.3878611829534,1.0,1.0,0.0,1.0,0.2520435446906035,0.2520435446906035,1.0,0.35483193277310926,0.35483193277310926,69.48030231676051,81.19626363246694,152.8475061363071,164.60028624055454,190.3760858629235,0.0,37.49222448730098,0.10056080283353011,4760,101
previous_validation_best,0.01,epsilon_convergence,0.0,690.0,462.0,830.3878611829534,1.0,1.0,0.0,1.0,0.2520435446906035,0.2520435446906035,1.0,0.35483193277310926,0.35483193277310926,69.48030231676051,81.19627030049551,152.8475061363071,164.60028624055454,190.3760858629235,0.0,37.49222448730098,0.10056080283353011,4760,201
short_90pct,0.1,epsilon_convergence,0.0,620.0,320.0,697.7105417004963,1.0,1.0,0.0,1.0,0.23751649420098617,0.23751649420098617,1.0,0.3630252100840336,0.3630252100840336,95.65195815707433,113.43811856508715,231.74576462048734,253.3130109431967,309.56675155089107,0.0,48.260691023215664,0.06108583929439544,4760,21
short_90pct,0.05,epsilon_convergence,0.0,620.0,320.0,697.7105417004963,1.0,1.0,0.0,1.0,0.23751649420098617,0.23751649420098617,1.0,0.3630252100840336,0.3630252100840336,95.65195815707433,113.4381481719571,231.74576462048734,253.3130109431967,309.56675155089107,0.0,48.260691023215664,0.06108583929439544,4760,41
short_90pct,0.02,epsilon_convergence,0.0,620.0,320.0,697.7105417004963,1.0,1.0,0.0,1.0,0.23751649420098617,0.23751649420098617,1.0,0.3630252100840336,0.3630252100840336,95.65195815707433,113.43817368836697,231.74576462048734,253.3130109431967,309.56675155089107,0.0,48.260691023215664,0.06108583929439544,4760,101
short_90pct,0.01,epsilon_convergence,0.0,620.0,320.0,697.7105417004963,1.0,1.0,0.0,1.0,0.23751649420098617,0.23751649420098617,1.0,0.3630252100840336,0.3630252100840336,95.65195815707433,113.4381813038128,231.74576462048734,253.3130109431967,309.56675155089107,0.0,48.260691023215664,0.06108583929439544,4760,201
