d1,d2,nominal_optimum_beta,robust_optimum_beta,deviation_from_90_deg,beta_90_worst_diameter,optimum_worst_diameter,diameter_improvement_from_90,relative_improvement_from_90,worst_epsilon,bounded_all_at_optimum,diameter_pass_all_at_optimum,circle_pass_all_at_optimum,clear_ready_all_at_optimum,refined_beta_step,refined_epsilon_step
200.0,200.0,90.03,91.0,1.0,10.052608945470892,9.962901809919511,0.08970713555138055,0.008923766560301468,1.0,True,True,False,False,0.01,0.01
200.0,400.0,90.04,91.0,1.0,15.84368012481229,15.725686968270306,0.11799315654198317,0.0074473326659251216,1.0,True,True,False,False,0.01,0.01
200.0,600.0,90.06,91.0,1.0,22.33148144592319,22.201167990121984,0.13031345580120401,0.005835414731296024,1.0,True,True,False,False,0.01,0.01
200.0,800.0,90.07,91.0,1.0,29.052943699860787,28.91441337774071,0.13853032212007577,0.004768202614895081,1.0,True,True,False,False,0.01,0.01
200.0,1000.0,90.09,91.0,1.0,35.87697899866128,35.731660375412,0.14531862324928113,0.004050469891980135,1.0,True,True,False,False,0.01,0.01
400.0,200.0,90.04,91.0,1.0,15.838045821589477,15.725686968270262,0.1123588533192148,0.007094237166939746,-1.0,True,True,False,False,0.01,0.01
400.0,400.0,90.03,91.0,1.0,20.105217890941784,19.925803619839023,0.1794142711027611,0.008923766560301468,1.0,True,True,False,False,0.01,0.01
400.0,600.0,90.04,91.0,1.0,25.59885715853641,25.383752293946152,0.21510486459025913,0.008402908897771963,1.0,True,True,False,False,0.01,0.01
400.0,800.0,90.04,91.0,1.0,31.68736024962458,31.451373936540612,0.23598631308396634,0.0074473326659251216,1.0,True,True,False,False,0.01,0.01
400.0,1000.0,90.05,91.0,1.0,38.086503144043704,37.83648736105742,0.25001578298628147,0.006564419475337974,1.0,True,True,False,False,0.01,0.01
600.0,200.0,90.06,91.0,1.0,22.320821035556328,22.201167990121967,0.11965304543436162,0.005360602338227535,1.0,True,True,False,False,0.01,0.01
600.0,400.0,90.04,91.0,1.0,25.593045547677193,25.383752293946188,0.20929325373100482,0.008177739274566333,1.0,True,True,False,False,0.01,0.01
600.0,600.0,90.03,91.0,1.0,30.157826836412656,29.8887054297586,0.26912140665405815,0.008923766560298705,1.0,True,True,False,False,0.01,0.01
600.0,800.0,90.04,91.0,1.0,35.520285316563246,35.212091039371785,0.3081942771914612,0.008676570991611631,1.0,True,True,False,False,0.01,0.01
600.0,1000.0,90.04,91.0,1.0,41.371396263970695,41.036627661331806,0.3347686026388885,0.008091788841326346,-1.0,True,False,False,False,0.01,0.01
800.0,200.0,90.07,91.0,1.0,29.037579364924,28.914413377740686,0.12316598718331306,0.004241606562153444,-1.0,True,True,False,False,0.01,0.01
800.0,400.0,90.04,91.0,1.0,31.676091643178953,31.451373936540524,0.2247177066384296,0.007094237166939746,-1.0,True,True,False,False,0.01,0.01
800.0,600.0,90.04,91.0,1.0,35.51442183937829,35.21209103937162,0.3023308000066649,0.008512902205589094,1.0,True,True,False,False,0.01,0.01
800.0,800.0,90.03,91.0,1.0,40.21043578188357,39.851607239678046,0.3588285422055222,0.008923766560301468,1.0,True,True,False,False,0.01,0.01
800.0,1000.0,90.04,91.0,1.0,45.499337834061706,45.09951945595179,0.39981837810991294,0.008787344984405487,-1.0,True,False,False,False,0.01,0.01
1000.0,200.0,90.09,91.0,1.0,35.857071638179654,35.73166037541195,0.12541126276770598,0.0034975322032201705,-1.0,True,True,False,False,0.01,0.01
1000.0,400.0,90.05,91.0,1.0,38.07009575227027,37.83648736105732,0.23360839121294674,0.006136270124800402,-1.0,True,True,False,False,0.01,0.01
1000.0,600.0,90.04,91.0,1.0,41.359888842862446,41.03662766133178,0.3232611815306683,0.007815813595602883,-1.0,True,False,False,False,0.01,0.01
1000.0,800.0,90.04,91.0,1.0,45.493452605691296,45.09951945595181,0.3939331497394889,0.00865911745924967,1.0,True,False,False,False,0.01,0.01
1000.0,1000.0,90.03,91.0,1.0,50.263044727354405,49.814509049597454,0.4485356777569507,0.00892376656030243,-1.0,True,False,False,False,0.01,0.01
1200.0,200.0,90.11,91.0,1.0,42.73013883636693,42.603011827103984,0.1271270092629493,0.0029751134146738024,1.0,True,False,False,False,0.01,0.01
1200.0,400.0,90.06,91.0,1.0,44.641642071112656,44.40233598024393,0.23930609086872323,0.005360602338227535,1.0,True,False,False,False,0.01,0.01
1200.0,600.0,90.04,91.0,1.0,47.514137464768375,47.17706090481084,0.3370765599575378,0.0070942371669375105,1.0,True,False,False,False,0.01,0.01
1200.0,800.0,90.04,91.0,1.0,51.186091095354385,50.767504587892375,0.41858650746200965,0.008177739274566333,1.0,True,False,False,False,0.01,0.01
1200.0,1000.0,90.04,91.0,1.0,55.49904679008758,55.01418707841416,0.48485971167342257,0.00873636106773677,1.0,True,False,False,False,0.01,0.01
1500.0,200.0,90.13,91.0,1.0,53.09465530210261,52.96539656567856,0.12925873642404895,0.0024344961971893646,1.0,True,False,False,False,0.01,0.01
1500.0,400.0,90.07,91.0,1.0,54.69156351798905,54.44665241137744,0.2449111066116103,0.004478041783008353,-1.0,True,False,False,False,0.01,0.01
1500.0,600.0,90.05,91.0,1.0,57.10514362840541,56.75473104158598,0.35041258681943077,0.006136270124800588,-1.0,True,False,False,False,0.01,0.01
1500.0,800.0,90.04,91.0,1.0,60.237308605089694,59.793961599411055,0.44334700567863905,0.0073600068785473404,1.0,True,False,False,False,0.01,0.01
1500.0,1000.0,90.04,91.0,1.0,63.982613869192946,63.45938073486511,0.5232331343278389,0.008177739274571447,1.0,True,False,False,False,0.01,0.01
