stage,d1,d2,beta_deg,sensor_x,sensor_y,worst_diameter,mean_diameter,worst_epsilon,bounded_all,diameter_pass_all,circle_pass_all,clear_ready_all,epsilon_count
coarse,200.0,200.0,88.0,193.02010065949978,-199.87816540381914,10.23934458745585,10.055388486980132,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.05,193.19452989956648,-199.88418040633456,10.234553289621314,10.050841316219431,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.1,193.3689643222947,-199.89004318835143,10.229768429114271,10.046300175991137,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.15,193.54340379484515,-199.89575374540496,10.224989995090883,10.0417650563843,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.2,193.71784818437436,-199.90131207314633,10.220217976732917,10.037235947510876,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.25,193.89229735803548,-199.90671816734258,10.215452363247739,10.032712839505688,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.3,194.06675118297784,-199.9119720238768,10.210693143867932,10.028195722526329,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.35,194.2412095263473,-199.91707363874792,10.205940307851812,10.023684586753122,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.4,194.41567225528624,-199.92202300807088,10.201193844482736,10.019179422389055,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.45,194.59013923693365,-199.92682012807646,10.19645374306951,10.014680219659711,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.5,194.76461033842537,-199.93146499511144,10.191719992945997,10.010186968813192,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.55,194.93908542689405,-199.93595760563863,10.186992583471193,10.00569966012008,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.6,195.11356436946934,-199.94029795623663,10.182271504029146,10.001218283873351,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.65,195.288047033278,-199.9444860436001,10.177556744028779,9.996742830388335,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.7,195.46253328544373,-199.94852186453966,10.172848292904044,9.992273290002636,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.75,195.63702299308778,-199.95240541598181,10.168146140113613,9.98780965307608,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.8,195.81151602332858,-199.9561366949691,10.163450275140933,9.983351909990624,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.85,195.98601224328218,-199.95971569865995,10.158760687494128,9.97890005115035,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.9,196.16051152006207,-199.96314242432885,10.154077366705858,9.974454066981343,-1.0,True,True,True,True,101
coarse,200.0,200.0,88.95,196.33501372077944,-199.96641686936616,10.149400302333376,9.970013947931674,-1.0,True,True,True,True,101
coarse,200.0,200.0,89.0,196.50951871254327,-199.96953903127826,10.144729483958464,9.965579684471308,-1.0,True,True,True,True,101
coarse,200.0,200.0,89.05,196.68402636246046,-199.97250890768748,10.140064901187175,9.961176821896858,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.1,196.8585365376358,-199.97532649633212,10.135406543649955,9.956966312652655,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.15,197.03304910517232,-199.9779917950665,10.130754401001571,9.952973103473171,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.2,197.20756393217093,-199.98050480186086,10.126108462920755,9.94919763537104,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.25,197.38208088573109,-199.9828655148014,10.121468719110531,9.94563964734163,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.3,197.55659983295058,-199.9850739320904,10.116835159298038,9.942299584031959,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.35,197.73112064092552,-199.987130052046,10.11220777323416,9.939177181409919,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.4,197.90564317675086,-199.98903387310241,10.10758655069391,9.936272887398893,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.45,198.08016730752,-199.9907853938098,10.102971481476029,9.933586435295705,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.5,198.2546929003252,-199.99238461283426,10.098362555403046,9.93111827594116,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.55,198.42921982225772,-199.99383152895794,10.093759762321268,9.928868140318418,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.6,198.6037479404077,-199.99512614107894,10.089163092100579,9.926836481825756,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.65,198.77827712186433,-199.99626844821142,10.08457253463446,9.925023029491063,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.7,198.9528072337161,-199.99725844948534,10.079988079839836,9.92342823890919,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.75,199.12733814305068,-199.9980961441469,10.075409717657218,9.922051837512072,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.8,199.30186971695525,-199.99878153155808,10.070837438050342,9.92089428272929,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.85,199.47640182251638,-199.99931461119695,10.066271231006342,9.919955300757138,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.9,199.65093432682033,-199.99969538265753,10.061711086535556,9.919235350497082,-1.0,True,True,False,False,101
coarse,200.0,200.0,89.95,199.82546709695296,-199.99992384564987,10.057156994671514,9.918734157271073,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.0,200.0,-200.0,10.052608945470892,9.918452181088675,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.05,200.174532903047,-199.99992384564987,10.048066929013325,9.918389146759711,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.1,200.34906567317964,-199.99969538265753,10.043530935401545,9.918545515037112,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.15,200.5235981774836,-199.99931461119695,10.039000954761045,9.918921010581792,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.2,200.69813028304475,-199.99878153155808,10.03447697724036,9.919516094524331,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.25,200.8726618569493,-199.9980961441469,10.029958993010661,9.920330491740884,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.3,201.04719276628387,-199.99725844948534,10.025446992265964,9.921364663373051,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.35,201.22172287813564,-199.99626844821142,10.020940965222831,9.922618334877331,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.4,201.39625205959234,-199.99512614107894,10.016440902120515,9.924091967038732,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.45,201.57078017774228,-199.99383152895794,10.011946793220758,9.925785286260174,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.5,201.7453070996748,-199.99238461283426,10.007458628807754,9.92769875260153,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.55,201.91983269248004,-199.9907853938098,10.002976399188142,9.929832093779142,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.6,202.09435682324914,-199.98903387310241,9.998500094690923,9.932185768758272,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.65,202.26887935907448,-199.987130052046,9.994029705667261,9.934759506936633,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.7,202.44340016704945,-199.9850739320904,9.98956522249072,9.937553765814446,-1.0,True,True,False,False,101
