pareto_index,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
1,refine_2m,2.0,0.0,0.0,0.0,0.9669008587041374,0.9968774395003903,0.0,0.9669008587041374,0.0,0.0,0.9793650793650793,0.0,0.0,nan,nan,nan,nan,nan,1.0,90.0,0.0,1260,9
2,refine_2m,2.0,0.0,2.0,2.0,0.6994535519125683,0.9828259172521467,0.0,0.6994535519125683,0.00018214936247723133,0.00018214936247723133,0.8166666666666667,0.005555555555555556,0.005555555555555556,68.08512261652018,215.42544241974457,579.2036835182016,1257.7363255549217,1257.7363255549217,0.9989955357142857,89.82455338327922,0.0,1260,9
3,refine_2m,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.99861728586663,0.0,1260,9
4,refine_2m,2.0,2.0,2.0,2.8284271247461903,1.0,1.0,0.0,1.0,0.00026021337496747333,0.00026021337496747333,1.0,0.007936507936507936,0.007936507936507936,60.77718493629887,940.1987307345739,998.3901101544802,11973.216353746115,11973.216353746115,0.9991933385376008,89.84876955104428,0.0,1260,9
5,refine_2m,2.0,0.0,4.0,4.0,0.6928181108508977,0.9828259172521467,0.0,0.6928181108508977,0.000546448087431694,0.000546448087431694,0.8119047619047619,0.016666666666666666,0.016666666666666666,172.9313821169596,472.45292735517774,1158.4073670364032,2515.4726511098434,4276.605293297561,0.995943661971831,89.6478850098979,0.0,1260,9
6,refine_2m,2.0,2.0,4.0,4.47213595499958,1.0,1.0,0.0,1.0,0.000546448087431694,0.000546448087431694,1.0,0.016666666666666666,0.016666666666666666,158.1081435012819,618.935830194362,1465.658043266607,4546.7191588229025,6757.975298768773,0.997007546187874,89.69760107409458,0.0,1260,9
7,refine_2m,2.0,4.0,2.0,4.47213595499958,1.0,1.0,0.0,1.0,0.00036429872495446266,0.00036429872495446266,1.0,0.011111111111111112,0.011111111111111112,49.16496510811381,367.21185759237994,818.3013937883184,3691.3991313460733,3691.3991313460733,0.9991412958626074,89.8477434355061,0.0,1260,9
8,refine_2m,2.0,-4.0,4.0,5.656854249492381,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.000546448087431694,0.000546448087431694,0.65,0.016666666666666666,0.016666666666666666,187.49144442960133,479.91818438827164,1330.171657245293,2502.921817885768,3330.0887658481297,0.994017094017094,89.54933673883805,0.0,1260,9
9,refine_2m,2.0,0.0,6.0,6.0,0.6721311475409836,0.9812646370023419,0.0,0.6721311475409836,0.0009107468123861566,0.0009107468123861566,0.8,0.022222222222222223,0.022222222222222223,236.9375991854348,807.1708343148451,1737.6110505546048,3773.208976666967,9740.410661705218,0.9905536198219125,89.46374243079035,0.0,1260,9
10,refine_2m,2.0,-2.0,6.0,6.324555320336759,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0008066614623991673,0.0008066614623991673,0.65,0.020634920634920634,0.020634920634920634,251.66040698505168,725.1509852579713,1915.0146559595125,3415.5170841008157,6955.037774893319,0.9856532356532357,89.31876855084289,0.0,1260,9
