stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
refine_2m,2.0,-8.0,0.0,8.0,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0,0.0,0.65,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.9918827103767,0.0,1260,9
refine_2m,2.0,-8.0,2.0,8.246211251235321,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0,0.0,0.65,0.0,0.0,145.5794285175914,641.3310030973646,1144.0670362114743,6947.44689142215,6947.44689142215,0.998962148962149,89.77804389114729,0.0,1260,9
refine_2m,2.0,-8.0,4.0,8.94427190999916,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.000546448087431694,0.000546448087431694,0.65,0.016666666666666666,0.016666666666666666,236.18770080384996,810.4089960481614,1790.4497220775038,4801.428498268222,7428.421900876653,0.9944444444444445,89.55615514884673,0.0,1260,9
refine_2m,2.0,-8.0,6.0,10.0,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.000546448087431694,0.000546448087431694,0.65,0.016666666666666666,0.016666666666666666,280.5869205122998,1003.960980517391,2219.8322307597014,6380.509730783996,12024.794300442385,0.9868131868131869,89.33439950694213,0.0,1260,9
refine_2m,2.0,-8.0,8.0,11.313708498984761,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0010668748373666406,0.0010668748373666406,0.65,0.024603174603174603,0.024603174603174603,335.6379116173693,936.5899433242142,2519.952905821656,5834.227516900543,6660.177531696259,0.9761904761904762,89.11283958661669,0.0,1260,9
refine_2m,2.0,-6.0,0.0,6.0,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0,0.0,0.65,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.99386614916293,0.0,1260,9
refine_2m,2.0,-6.0,2.0,6.324555320336759,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0,0.0,0.65,0.0,0.0,115.42142849290995,292.2815725913406,811.9738635046787,2198.7112294635713,2198.7112294635713,0.9988400488400488,89.77637260297456,0.0,1260,9
refine_2m,2.0,-6.0,4.0,7.211102550927978,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.000546448087431694,0.000546448087431694,0.65,0.016666666666666666,0.016666666666666666,223.63061289803986,1996.108875769849,2112.0596387326555,18779.158588544444,25565.519719219195,0.994017094017094,89.55282156519604,0.0,1260,9
refine_2m,2.0,-6.0,6.0,8.48528137423857,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.000546448087431694,0.000546448087431694,0.65,0.016666666666666666,0.016666666666666666,270.4552619850638,3042.799011525313,2234.225445725696,4995.133148772195,104570.36357921147,0.9862637362637363,89.32942107229333,0.0,1260,9
refine_2m,2.0,-6.0,8.0,10.0,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0012230028623471246,0.0012230028623471246,0.65,0.026984126984126985,0.026984126984126985,344.9408948302975,1785.8913685580492,3435.998126135049,4589.07941790025,34254.420948252904,0.9750915750915751,89.10624119478759,0.0,1260,9
refine_2m,2.0,-4.0,0.0,4.0,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0,0.0,0.65,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.99587876694274,0.0,1260,9
refine_2m,2.0,-4.0,2.0,4.47213595499958,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0,0.0,0.65,0.0,0.0,104.25988151384104,389.7506124860735,1244.532461348727,2400.714249134111,2400.714249134111,0.9985958485958486,89.77462458658133,0.0,1260,9
refine_2m,2.0,-4.0,4.0,5.656854249492381,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.000546448087431694,0.000546448087431694,0.65,0.016666666666666666,0.016666666666666666,187.49144442960133,479.91818438827164,1330.171657245293,2502.921817885768,3330.0887658481297,0.994017094017094,89.54933673883805,0.0,1260,9
refine_2m,2.0,-4.0,6.0,7.211102550927978,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0006505334374186833,0.0006505334374186833,0.65,0.018253968253968255,0.018253968253968255,279.38442437495723,2000.7375940157458,2998.772820287859,6749.244395896059,37596.93588373182,0.9856532356532357,89.32422106726105,0.0,1260,9
refine_2m,2.0,-4.0,8.0,8.94427190999916,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0013791308873276086,0.0013791308873276086,0.65,0.029365079365079365,0.029365079365079365,348.6417137528385,1211.800012251707,2684.721305986073,6296.932016836333,15743.520248001469,0.9746031746031746,89.09935663462517,0.0,1260,9
refine_2m,2.0,-2.0,0.0,2.0,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0,0.0,0.65,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.99792257386426,0.0,1260,9
