rank,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
1,refine_2m,2.0,690.0,468.0,833.7409669675588,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.37245666706671,82.30236091588247,154.72866188125278,166.8132646664184,190.95178691877746,0.0,37.57551666110605,0.09687743950039032,1260,9
2,refine_2m,2.0,690.0,466.0,832.6199613268949,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.462572296923,82.47007259286337,155.18820012206336,167.3159359229879,191.67830739663466,0.0,37.67396180253558,0.09687743950039032,1260,9
3,refine_2m,2.0,690.0,464.0,831.5022549578564,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.55402147248246,82.63992453712812,155.6525389232236,167.82371374373452,192.4130837493013,0.0,37.77285834893183,0.09607077803799115,1260,9
4,refine_2m,2.0,690.0,462.0,830.3878611829534,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.6468226715407,82.81195140011127,156.12174349617894,168.33666626392937,193.15624335985584,0.0,37.872209181118414,0.09463960447567005,1260,9
5,refine_2m,2.0,690.0,460.0,829.2767933567176,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.74099470864584,82.98618173113542,156.59588022205992,168.85486282166275,193.90791621718608,0.0,37.97201720468892,0.09463960447567005,1260,9
6,final_refine_1m,1.0,691.0,459.0,829.5553025567373,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.66693314073918,82.96566287837797,156.60582597475135,168.87858897432682,193.99418192528498,0.0,37.988844068350915,0.09482175383814728,1260,9
7,final_refine_1m,1.0,690.0,459.0,828.722510856318,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.78860076492809,83.07413345216683,156.83481921274355,169.11594961820433,194.28698646386965,0.0,38.02209357808722,0.09383294301327089,1260,9
8,final_refine_1m,1.0,691.0,458.0,829.0024125417248,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.71459035197212,83.05389564102586,156.84545317393784,169.14043436944695,194.37458225259644,0.0,38.039030264948344,0.09419724173822534,1260,9
9,final_refine_1m,1.0,689.0,459.0,827.890089323456,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.91049738882452,83.18282341428498,157.0640401251425,169.3535321947741,194.58007665518542,0.0,38.05522768927076,0.09365079365079365,1260,9
10,final_refine_1m,1.0,690.0,458.0,828.1690648653812,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.83655674256941,83.16264634941305,157.07501667797948,169.3783739845135,194.66823498288417,0.0,38.072285350304156,0.09320843091334895,1260,9
