x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count
-500.0,-1800.0,1868.1541692269404,-105.52411099675426,0.0,1.0,0.0,1.0,0.0,116.81109893634529,187.5333571044467,221.5327317851495,0,270,1350,1350,0,1350,0,0,0
-400.0,-1800.0,1843.9088914585775,-102.52880770915151,0.0,1.0,0.0,1.0,0.0,110.7210656720165,178.0605798555709,209.9496789923661,0,270,1350,1350,0,1350,0,0,0
-300.0,-1800.0,1824.8287590894658,-99.46232220802563,0.0,1.0,0.0,1.0,0.0,105.02074340735628,168.87711213956874,198.88230678347216,0,270,1350,1350,0,1350,0,0,0
-200.0,-1800.0,1811.0770276274834,-96.3401917459099,0.0,1.0,0.0,1.0,0.0,99.71827802707935,160.23433952397914,188.32763699145607,0,270,1350,1350,0,1350,0,0,0
-100.0,-1800.0,1802.7756377319947,-93.17983011986423,0.0,1.0,0.0,1.0,0.0,94.82067313992911,152.19190130234173,178.282727700968,0,270,1350,1350,0,1350,0,0,0
0.0,-1800.0,1800.0,-90.0,0.0,1.0,0.0,1.0,0.0,90.3091096534562,144.53384761970523,168.7446247544171,0,270,1350,1350,0,1350,0,0,0
100.0,-1800.0,1802.7756377319947,-86.82016988013577,0.0,1.0,0.0,0.9607407407407408,0.0,86.1977671869496,137.0648417938711,159.7102986919892,0,270,1350,1350,0,1297,0,0,0
200.0,-1800.0,1811.0770276274834,-83.6598082540901,0.0,1.0,0.0,0.9607407407407408,0.0,82.47534470759095,130.12591874926446,151.17656464566733,0,270,1350,1350,0,1297,0,0,0
300.0,-1800.0,1824.8287590894658,-80.53767779197439,0.0,1.0,0.0,0.9607407407407408,0.0,79.14236847964779,123.70093103892543,143.13998295623384,0,270,1350,1350,0,1297,0,0,0
400.0,-1800.0,1843.9088914585775,-77.47119229084849,0.0,1.0,0.0,0.9607407407407408,0.0,76.2078680011115,117.49861213716116,135.59673894388658,0,270,1350,1350,0,1297,0,0,0
500.0,-1800.0,1868.1541692269404,-74.47588900324574,0.0,1.0,0.0,0.9607407407407408,0.0,73.62600370537257,111.8832528358256,128.5425015004753,0,270,1350,1350,0,1297,0,0,0
600.0,-1800.0,1897.3665961010277,-71.56505117707799,0.0,1.0,0.0,0.9607407407407408,0.0,71.41781738003019,106.54427684019524,121.97226214601584,0,270,1350,1350,0,1297,0,0,0
700.0,-1800.0,1931.3207915827966,-68.74949449286676,0.0,1.0,0.0,0.9607407407407408,0.0,71.13797439857558,101.72214245359423,115.88015902123193,0,270,1350,1350,0,1297,0,0,0
800.0,-1800.0,1969.771560359221,-66.03751102542182,0.0,1.0,0.0,0.9607407407407408,0.0,72.65246192661354,97.26547689744025,110.25929397714468,0,270,1350,1350,0,1297,0,0,0
900.0,-1800.0,2012.4611797498108,-63.43494882292201,0.0,1.0,0.0,0.9607407407407408,0.0,74.31600582184652,93.1288725813288,105.10155528353393,0,270,1350,1350,0,1297,0,0,0
1000.0,-1800.0,2059.1260281974,-60.94539590092286,0.0,1.0,0.0,0.9607407407407408,0.0,76.07199321446862,89.44225702278679,100.39746304550405,0,270,1350,1350,0,1297,0,0,0
1100.0,-1800.0,2109.5023109728986,-58.57043438516149,0.0,1.0,0.0,0.9607407407407408,0.0,77.93302525379991,86.12574771522318,96.13605840694008,0,270,1350,1350,0,1297,0,0,0
1200.0,-1800.0,2163.3307652783938,-56.309932474020215,0.0,1.0,0.0,0.9607407407407408,0.0,79.92161401854139,87.89912023551435,92.30485997179534,0,270,1350,1350,0,1297,0,0,0
1300.0,-1800.0,2220.3603311174516,-54.16234704572171,0.0,1.0,0.0,0.9607407407407408,0.0,82.04056980224199,90.86768169783247,94.35680034865672,0,270,1350,1350,0,1297,0,0,0
1400.0,-1800.0,2280.350850198276,-52.1250163489018,0.0,1.0,0.0,0.9607407407407408,0.0,84.28903642437184,95.70216756770151,99.48322511540006,0,270,1350,1350,0,1297,0,0,0
1500.0,-1800.0,2343.074902771996,-50.19442890773481,0.0,1.0,0.0,0.9607407407407408,0.0,87.85169025331206,100.87234700035961,104.34519990260414,0,270,1350,1350,0,1297,0,0,0
1600.0,-1800.0,2408.3189157584593,-48.366460663429805,0.0,1.0,0.0,1.0,0.0,92.0937928120259,106.20328350081368,110.2582132984611,0,270,1350,1350,0,1350,0,0,0
1700.0,-1800.0,2475.8836806279896,-46.63657704161672,0.0,1.0,0.0,1.0,0.0,96.71939025446711,111.89892481720851,116.56835898607083,0,270,1350,1350,0,1350,0,0,0
1800.0,-1800.0,2545.584412271571,-45.0,0.0,1.0,0.0,1.0,0.0,101.64078819716968,118.28690622883062,123.27622633118591,0,270,1350,1350,0,1350,0,0,0
-500.0,-1700.0,1772.004514666935,-106.38954033403479,0.0,1.0,0.0,1.0,0.0,116.32203625227442,190.84433665557498,227.2362386501608,0,270,1350,1350,0,1350,0,0,0
-400.0,-1700.0,1746.424919657298,-103.2405199151872,0.0,1.0,0.0,1.0,0.0,109.87519565384832,180.89668255364631,214.88014468343877,0,270,1350,1350,0,1350,0,0,0
-300.0,-1700.0,1726.2676501632068,-100.00797980144135,0.0,1.0,0.0,1.0,0.0,103.84253668870042,171.18670687096358,203.0779295949586,0,270,1350,1350,0,1350,0,0,0
-200.0,-1700.0,1711.724276862369,-96.70983680775694,0.0,1.0,0.0,1.0,0.0,98.2331416392721,161.95806037716594,191.8263362695155,0,270,1350,1350,0,1350,0,0,0
-100.0,-1700.0,1702.93863659264,-93.3664606634298,0.0,1.0,0.0,1.0,0.0,93.04553597905834,153.4580307633313,181.1222078543636,0,270,1350,1350,0,1350,0,0,0
0.0,-1700.0,1700.0,-90.0,0.0,1.0,0.0,1.0,0.0,88.28681112597955,145.29001751393815,170.96244089931815,0,270,1350,1350,0,1350,0,0,0
100.0,-1700.0,1702.93863659264,-86.63353933657021,0.0,1.0,0.0,0.9607407407407408,0.0,83.9449574946907,137.37172241722038,161.34392141905047,0,270,1350,1350,0,1297,0,0,0
200.0,-1700.0,1711.724276862369,-83.29016319224307,0.0,1.0,0.0,0.9607407407407408,0.0,80.04711044672274,130.08022776397377,152.26344012892213,0,270,1350,1350,0,1297,0,0,0
