x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count
350.0,-850.0,919.2388155425118,-67.61986494804043,0.3,1.0,0.34,0.9807407407407407,0.3207407407407407,57.37100975395541,139.4226864440543,181.08651779144245,81,270,1350,1350,459,1324,433,26,0
400.0,-850.0,939.4147114027968,-64.79887635452492,0.3333333333333333,1.0,0.36666666666666664,0.9807407407407407,0.3474074074074074,54.538884886303464,132.83126392172898,172.3575467151879,90,270,1350,1350,495,1324,469,26,0
450.0,-850.0,961.7692030835673,-62.10272896905237,0.3333333333333333,1.0,0.38,0.9807407407407407,0.36074074074074075,51.930695401720655,126.59956971743317,163.9477935726408,90,270,1350,1350,513,1324,487,26,0
500.0,-850.0,986.154146165801,-59.53445508054013,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,49.54359484129765,120.59229618294836,155.85682235981707,99,270,1350,1350,540,1324,514,26,0
550.0,-850.0,1012.4228365658294,-57.094757077012105,0.3,1.0,0.37333333333333335,0.9807407407407407,0.3540740740740741,47.37384094760728,114.71524785405288,148.0844370664529,81,270,1350,1350,504,1324,478,26,0
600.0,-850.0,1040.4326023342405,-54.78240703180729,0.26666666666666666,1.0,0.31333333333333335,0.9807407407407407,0.2940740740740741,45.416720741199256,109.24670968093486,140.6306833300413,72,270,1350,1350,423,1324,397,26,0
650.0,-850.0,1070.046727951635,-52.59464336859145,0.2,1.0,0.2548148148148148,0.9807407407407407,0.23555555555555555,45.48771168172914,103.9732149026911,133.49584417205466,54,270,1350,1350,344,1324,318,26,0
700.0,-850.0,1101.135777277262,-50.527540151656176,0.13333333333333333,1.0,0.18,0.9807407407407407,0.16074074074074074,46.82283679852025,98.91953784640391,126.68042742884852,36,270,1350,1350,243,1324,217,26,0
750.0,-850.0,1133.5784048754633,-48.57633437499735,0.06666666666666667,1.0,0.09333333333333334,0.9807407407407407,0.07407407407407407,48.20093482174756,94.14844917876223,120.1851418839558,18,270,1350,1350,126,1324,100,26,0
350.0,-800.0,873.212459828649,-66.37062226934319,0.3,1.0,0.35777777777777775,0.9807407407407407,0.3385185185185185,56.982170961790594,143.64496756426826,188.80001577637498,81,270,1350,1350,483,1324,457,26,0
400.0,-800.0,894.4271909999159,-63.43494882292201,0.3333333333333333,1.0,0.37333333333333335,0.9807407407407407,0.3540740740740741,53.98079333160685,136.8081771089041,179.3982109590305,90,270,1350,1350,504,1324,478,26,0
450.0,-800.0,917.8779875342909,-60.64224645720873,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,51.221374161857796,130.09205996831523,170.34152118260468,99,270,1350,1350,540,1324,514,26,0
500.0,-800.0,943.3981132056604,-57.9946167919165,0.36666666666666664,1.0,0.41333333333333333,0.9807407407407407,0.3940740740740741,48.70110436051796,123.62123630502333,161.62928965930672,99,270,1350,1350,558,1324,532,26,0
550.0,-800.0,970.8243919473799,-55.4914770123316,0.36666666666666664,1.0,0.42,0.9807407407407407,0.40074074074074073,46.41608173755261,117.46233693926817,153.26116214177443,99,270,1350,1350,567,1324,541,26,0
600.0,-800.0,1000.0,-53.13010235415598,0.3,1.0,0.36666666666666664,0.9807407407407407,0.3474074074074074,44.361182986521094,111.57828983237663,145.2370975503215,81,270,1350,1350,495,1324,469,26,0
650.0,-800.0,1030.7764064044152,-50.906141113770495,0.26666666666666666,1.0,0.30666666666666664,0.9807407407407407,0.2874074074074074,44.669846519900986,105.92467447412061,137.5573736237161,72,270,1350,1350,414,1324,388,26,0
700.0,-800.0,1063.014581273465,-48.81407483429036,0.2,1.0,0.26,0.9807407407407407,0.24074074074074073,46.06030574310678,100.46939657179396,130.22258494838488,54,270,1350,1350,351,1324,325,26,0
750.0,-800.0,1096.5856099730654,-46.8476102659946,0.13333333333333333,1.0,0.17777777777777778,0.9807407407407407,0.15851851851851853,47.49863310407317,95.4191315070282,123.23362988513387,36,270,1350,1350,240,1324,214,26,0
350.0,-750.0,827.6472678623425,-64.98310652189998,0.3333333333333333,1.0,0.36666666666666664,0.9807407407407407,0.3474074074074074,56.74704303743856,148.88767764828185,197.9623457416243,90,270,1350,1350,495,1324,469,26,0
400.0,-750.0,850.0,-61.92751306414704,0.3333333333333333,1.0,0.38814814814814813,0.9807407407407407,0.3688888888888889,53.551376773944725,141.4517964809696,187.77940879890915,90,270,1350,1350,524,1324,498,26,0
450.0,-750.0,874.642784226795,-59.03624346792648,0.36666666666666664,1.0,0.40296296296296297,0.9807407407407407,0.3837037037037037,50.61856736069202,134.2707593627508,177.97185835073319,99,270,1350,1350,544,1324,518,26,0
500.0,-750.0,901.3878188659974,-56.309932474020215,0.3925925925925926,1.0,0.4318518518518519,0.9807407407407407,0.41259259259259257,47.94599730811297,127.28836941429981,168.5386862394016,106,270,1350,1350,583,1324,557,26,0
550.0,-750.0,930.0537618869137,-53.74616226255522,0.4,1.0,0.4444444444444444,0.9807407407407407,0.42518518518518517,45.529726203851276,120.56037743491231,159.47925760895055,108,270,1350,1350,600,1324,574,26,0
600.0,-750.0,960.4686356149273,-51.34019174590991,0.36666666666666664,1.0,0.4066666666666667,0.9807407407407407,0.3874074074074074,43.3642831990875,114.37620337406054,150.79333275430878,99,270,1350,1350,549,1324,523,26,0
650.0,-750.0,992.4716620639604,-49.08561677997488,0.3,1.0,0.3562962962962963,0.9807407407407407,0.337037037037037,43.80670638193594,108.34528265967957,142.48108569478322,81,270,1350,1350,481,1324,455,26,0
700.0,-750.0,1025.9142264341594,-46.97493401088198,0.26666666666666666,1.0,0.3,0.9807407407407407,0.28074074074074074,45.26188795323603,102.45142063353742,134.54311672997338,72,270,1350,1350,405,1324,379,26,0
750.0,-750.0,1060.6601717798212,-45.0,0.16666666666666666,1.0,0.2437037037037037,0.9807407407407407,0.22444444444444445,46.797330551075305,96.96875111208261,126.98045515869144,45,270,1350,1350,329,1324,303,26,0
350.0,-700.0,782.6237921249264,-63.43494882292201,0.3333333333333333,1.0,0.3718518518518519,0.9807407407407407,0.35259259259259257,56.69792936513001,154.6323405639235,208.93370935125026,90,270,1350,1350,502,1324,476,26,0
400.0,-700.0,806.2257748298549,-60.25511870305778,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,53.276785271096756,147.07651665948012,197.83381027388464,99,270,1350,1350,540,1324,514,26,0
450.0,-700.0,832.1658488546619,-57.264773727892404,0.36666666666666664,1.0,0.4162962962962963,0.9807407407407407,0.397037037037037,50.14287496179284,139.30624866213552,187.14523826685044,99,270,1350,1350,562,1324,536,26,0
500.0,-700.0,860.2325267042627,-54.46232220802562,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,47.29400522763527,131.751759904012,176.86644740986668,108,270,1350,1350,585,1324,559,26,0
550.0,-700.0,890.2246907382428,-51.84277341263094,0.4,1.0,0.46,0.9807407407407407,0.44074074074074077,44.72640122694787,124.35124029917773,166.99634437726894,108,270,1350,1350,621,1324,595,26,0
600.0,-700.0,921.9544457292888,-49.398705354995535,0.36666666666666664,1.0,0.4318518518518519,0.9807407407407407,0.41259259259259257,42.43438097349757,117.66057467244556,157.53432376775356,99,270,1350,1350,583,1324,557,26,0
650.0,-700.0,955.24865872714,-47.12109639666146,0.3333333333333333,1.0,0.3933333333333333,0.9807407407407407,0.37407407407407406,43.248589765263006,111.3448993354526,148.48030280220527,90,270,1350,1350,531,1324,505,26,0
700.0,-700.0,989.9494936611666,-45.0,0.26666666666666666,1.0,0.337037037037037,0.9807407407407407,0.31777777777777777,44.77709580934557,104.96608218974849,139.83475281767096,72,270,1350,1350,455,1324,429,26,0
750.0,-700.0,1025.9142264341594,-43.025065989118026,0.23333333333333334,1.0,0.2822222222222222,0.9807407407407407,0.26296296296296295,46.33436633780489,98.94987997330246,131.59872369371587,63,270,1350,1350,381,1324,355,26,0
350.0,-650.0,738.24115301167,-61.69924423399363,0.3333333333333333,1.0,0.38296296296296295,0.9807407407407407,0.3637037037037037,56.87774285844719,161.7680537447381,222.20252152520814,90,270,1350,1350,517,1324,491,26,0
400.0,-650.0,763.2168761236874,-58.3924977537511,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,53.19172270057573,153.380098129934,210.0120643948649,99,270,1350,1350,540,1324,514,26,0
450.0,-650.0,790.5694150420949,-55.30484646876604,0.3814814814814815,1.0,0.42962962962962964,0.9807407407407407,0.4103703703703704,49.82154269744697,145.33862466095917,198.27640213397626,103,270,1350,1350,580,1324,554,26,0
500.0,-650.0,820.0609733428363,-52.43140797117251,0.4,1.0,0.44222222222222224,0.9807407407407407,0.422962962962963,46.765776920341686,137.22938830432577,186.99318296852442,108,270,1350,1350,597,1324,571,26,0
550.0,-650.0,851.46931829632,-49.76364169072618,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,44.02114358643667,129.2528110115854,176.16059619186373,117,270,1350,1350,630,1324,604,26,0
600.0,-650.0,884.5903006477066,-47.290610042638534,0.4,1.0,0.45925925925925926,0.9807407407407407,0.44,41.67739585762571,121.82043037792684,165.7774230008101,108,270,1350,1350,620,1324,594,26,0
650.0,-650.0,919.2388155425118,-45.0,0.36666666666666664,1.0,0.4059259259259259,0.9807407407407407,0.38666666666666666,42.82970294736845,115.04322386537103,155.84309044264077,99,270,1350,1350,548,1324,522,26,0
700.0,-650.0,955.24865872714,-42.87890360333855,0.3148148148148148,1.0,0.3637037037037037,0.9807407407407407,0.34444444444444444,44.507480406180534,108.3039654620478,146.35772646284235,85,270,1350,1350,491,1324,465,26,0
750.0,-650.0,992.4716620639604,-40.91438322002513,0.26666666666666666,1.0,0.30518518518518517,0.9807407407407407,0.2859259259259259,46.241874794121586,101.63226024496558,137.3222126273103,72,270,1350,1350,412,1324,386,26,0
350.0,-600.0,694.6221994724903,-59.743562836470744,0.3333333333333333,1.0,0.39111111111111113,0.9807407407407407,0.3718518518518519,57.34475288469069,170.53202694602368,238.44775691014098,90,270,1350,1350,528,1324,502,26,0
400.0,-600.0,721.1102550927978,-56.309932474020215,0.36666666666666664,1.0,0.40444444444444444,0.9807407407407407,0.3851851851851852,53.34332204610156,161.25232816751753,224.93987359698505,99,270,1350,1350,546,1324,520,26,0
450.0,-600.0,750.0,-53.13010235415598,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,49.691508885008446,152.56257687734936,211.94052897986035,108,270,1350,1350,585,1324,559,26,0
500.0,-600.0,781.0249675906655,-50.19442890773481,0.4,1.0,0.4525925925925926,0.9807407407407407,0.43333333333333335,46.3891500550605,144.05702997186606,199.446173390058,108,270,1350,1350,611,1324,585,26,0
550.0,-600.0,813.9410298049853,-47.48955292199916,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,43.43396889064742,135.5611715719765,187.45389758802378,117,270,1350,1350,630,1324,604,26,0
600.0,-600.0,848.5281374238571,-45.0,0.42962962962962964,1.0,0.4792592592592593,0.9807407407407407,0.46,41.22689537628291,127.19515646893775,175.96150053754764,116,270,1350,1350,647,1324,621,26,0
650.0,-600.0,884.5903006477066,-42.70938995736147,0.36666666666666664,1.0,0.422962962962963,0.9807407407407407,0.40370370370370373,42.756709862918264,119.6401668411586,164.96756522062628,99,270,1350,1350,571,1324,545,26,0
700.0,-600.0,921.9544457292888,-40.60129464500447,0.3333333333333333,1.0,0.37777777777777777,0.9807407407407407,0.3585185185185185,44.56276805073239,112.29776917102055,154.47154156556715,90,270,1350,1350,510,1324,484,26,0
750.0,-600.0,960.4686356149273,-38.65980825409009,0.26666666666666666,1.0,0.3296296296296296,0.9807407407407407,0.31037037037037035,46.33138859340106,105.3281863322459,144.47383419712943,72,270,1350,1350,445,1324,419,26,0
350.0,-550.0,651.9202405202649,-57.52880770915151,0.35185185185185186,1.0,0.397037037037037,0.9807407407407407,0.37777777777777777,58.1800460745701,181.80442996381532,258.6416205190265,95,270,1350,1350,536,1324,510,26,0
400.0,-550.0,680.0735254367721,-53.97262661489639,0.36666666666666664,1.0,0.4111111111111111,0.9807407407407407,0.39185185185185184,53.79726743383423,171.52645619880406,243.51176867536742,99,270,1350,1350,555,1324,529,26,0
450.0,-550.0,710.6335201775947,-50.71059313749964,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,49.80425009035257,161.39845735991466,228.95869176240342,108,270,1350,1350,585,1324,559,26,0
500.0,-550.0,743.3034373659252,-47.72631099390627,0.4111111111111111,1.0,0.4614814814814815,0.9807407407407407,0.44222222222222224,46.20279281903509,152.07262095883084,214.97705314367093,111,270,1350,1350,623,1324,597,26,0
550.0,-550.0,777.8174593052023,-45.0,0.43333333333333335,1.0,0.47185185185185186,0.9807407407407407,0.4525925925925926,42.99240796781149,142.9748799362838,201.56227125687866,117,270,1350,1350,637,1324,611,26,0
600.0,-550.0,813.9410298049853,-42.510447078000844,0.43333333333333335,1.0,0.48,0.9807407407407407,0.46074074074074073,40.97534332736343,134.06930180872425,188.71060464137992,117,270,1350,1350,648,1324,622,26,0
650.0,-550.0,851.46931829632,-40.23635830927382,0.36666666666666664,1.0,0.43407407407407406,0.9807407407407407,0.4148148148148148,42.82193882661332,125.37900892012067,176.41925109347713,99,270,1350,1350,586,1324,560,26,0
700.0,-550.0,890.2246907382428,-38.15722658736906,0.3333333333333333,1.0,0.38,0.9807407407407407,0.36074074074074075,44.707368792375895,117.30427091667727,164.68646173090946,90,270,1350,1350,513,1324,487,26,0
750.0,-550.0,930.0537618869137,-36.25383773744479,0.3,1.0,0.3466666666666667,0.9807407407407407,0.3274074074074074,46.58362063770396,109.64815564222337,153.51166971707664,81,270,1350,1350,468,1324,442,26,0
350.0,-500.0,610.3277807866851,-55.00797980144134,0.3592592592592593,1.0,0.3985185185185185,0.9807407407407407,0.37925925925925924,59.512863638967595,195.94143353961985,284.22666765708846,97,270,1350,1350,538,1324,512,26,0
400.0,-500.0,640.3124237432849,-51.34019174590991,0.36666666666666664,1.0,0.4140740740740741,0.9807407407407407,0.39481481481481484,54.64779143613972,184.15831620858654,267.0524459286841,99,270,1350,1350,559,1324,533,26,0
450.0,-500.0,672.6812023536855,-48.01278750418334,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,50.2337484391344,173.22375352905772,250.54448699993003,108,270,1350,1350,585,1324,559,26,0
500.0,-500.0,707.1067811865476,-45.0,0.42592592592592593,1.0,0.4651851851851852,0.9807407407407407,0.44592592592592595,46.26224433480088,162.57901524063885,234.6947459861773,115,270,1350,1350,628,1324,602,26,0
550.0,-500.0,743.3034373659252,-42.27368900609374,0.43333333333333335,1.0,0.4777777777777778,0.9807407407407407,0.4585185185185185,42.735756406843414,152.04869055727056,219.49607374106805,117,270,1350,1350,645,1324,619,26,0
600.0,-500.0,781.0249675906655,-39.80557109226519,0.43333333333333335,1.0,0.47333333333333333,0.9807407407407407,0.4540740740740741,41.28509492330754,142.31165195493062,204.94231755376217,117,270,1350,1350,639,1324,613,26,0
650.0,-500.0,820.0609733428363,-37.568592028827496,0.3851851851851852,1.0,0.43703703703703706,0.9807407407407407,0.4177777777777778,43.05388139455051,132.80879562173817,191.0284430258289,104,270,1350,1350,590,1324,564,26,0
700.0,-500.0,860.2325267042627,-35.53767779197438,0.3333333333333333,1.0,0.37925925925925924,0.9807407407407407,0.36,45.01573128100188,123.89144074063972,177.75068028360567,90,270,1350,1350,512,1324,486,26,0
750.0,-500.0,901.3878188659974,-33.690067525979785,0.3,1.0,0.34296296296296297,0.9807407407407407,0.3237037037037037,46.97578745782464,115.138066062358,165.10669736557256,81,270,1350,1350,463,1324,437,26,0
350.0,-450.0,570.087712549569,-52.1250163489018,0.3592592592592593,1.0,0.3985185185185185,0.9807407407407407,0.37925925925925924,61.485137020179565,212.60962469394045,317.4390448552738,97,270,1350,1350,538,1324,512,26,0
400.0,-450.0,602.0797289396148,-48.366460663429805,0.36666666666666664,1.0,0.41333333333333333,0.9807407407407407,0.3940740740740741,56.03465469874015,199.58395603451078,297.61024160927053,99,270,1350,1350,558,1324,532,26,0
450.0,-450.0,636.3961030678928,-45.0,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,51.09011219157425,187.42052361107656,278.5698896763247,108,270,1350,1350,585,1324,559,26,0
500.0,-450.0,672.6812023536855,-41.98721249581666,0.42962962962962964,1.0,0.4659259259259259,0.9807407407407407,0.44666666666666666,46.65033692377342,175.40129374764194,260.3057121057197,116,270,1350,1350,629,1324,603,26,0
550.0,-450.0,710.6335201775947,-39.28940686250036,0.43333333333333335,1.0,0.48,0.9807407407407407,0.46074074074074073,42.72249105864071,163.7962772631352,242.806520153634,117,270,1350,1350,648,1324,622,26,0
600.0,-450.0,750.0,-36.86989764584402,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,41.66715735812892,152.94090689591317,226.0623248349962,117,270,1350,1350,630,1324,604,26,0
650.0,-450.0,790.5694150420949,-34.69515353123397,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,43.60862664171805,142.4995024842127,210.06447730363917,108,270,1350,1350,585,1324,559,26,0
700.0,-450.0,832.1658488546619,-32.7352262721076,0.3333333333333333,1.0,0.37703703703703706,0.9807407407407407,0.35777777777777775,45.69818156343203,132.25367879945202,194.80584417833796,90,270,1350,1350,509,1324,483,26,0
750.0,-450.0,874.642784226795,-30.96375653207352,0.3,1.0,0.3340740740740741,0.9807407407407407,0.3148148148148148,47.71543925658396,122.69084398853103,180.28102477580018,81,270,1350,1350,451,1324,425,26,0
350.0,-400.0,531.5072906367325,-48.81407483429036,0.35185185185185186,1.0,0.3962962962962963,0.9807407407407407,0.37703703703703706,64.37267502521917,234.91411800050415,361.9409542299755,95,270,1350,1350,535,1324,509,26,0
400.0,-400.0,565.685424949238,-45.0,0.36666666666666664,1.0,0.4096296296296296,0.9807407407407407,0.39037037037037037,58.17339408779829,220.0818273219121,338.5290143845009,99,270,1350,1350,553,1324,527,26,0
450.0,-400.0,602.0797289396148,-41.6335393365702,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,52.54397651390814,205.6566881017505,316.08122501778104,108,270,1350,1350,585,1324,559,26,0
500.0,-400.0,640.3124237432849,-38.65980825409009,0.42962962962962964,1.0,0.4659259259259259,0.9807407407407407,0.44666666666666666,47.496039225001525,192.361179576076,294.5783568302565,116,270,1350,1350,629,1324,603,26,0
550.0,-400.0,680.0735254367721,-36.02737338510361,0.43333333333333335,1.0,0.4792592592592593,0.9807407407407407,0.46,43.04384743401433,179.54391288429156,274.0025766721517,117,270,1350,1350,647,1324,621,26,0
600.0,-400.0,721.1102550927978,-33.690067525979785,0.4,1.0,0.44666666666666666,0.9807407407407407,0.4274074074074074,42.35724130809739,166.61914798563834,254.33755902768794,108,270,1350,1350,603,1324,577,26,0
650.0,-400.0,763.2168761236874,-31.6075022462489,0.36666666666666664,1.0,0.41555555555555557,0.9807407407407407,0.3962962962962963,44.64319325470045,154.19032616392332,235.56863413246938,99,270,1350,1350,561,1324,535,26,0
700.0,-400.0,806.2257748298549,-29.74488129694222,0.3,1.0,0.3674074074074074,0.9807407407407407,0.34814814814814815,46.80205743790729,143.0689894135049,217.68298213852168,81,270,1350,1350,496,1324,470,26,0
750.0,-400.0,850.0,-28.072486935852957,0.2814814814814815,1.0,0.3288888888888889,0.9807407407407407,0.30962962962962964,49.171114582895584,132.36306985039175,200.66988516917456,76,270,1350,1350,444,1324,418,26,0
350.0,-350.0,494.9747468305833,-45.0,0.34074074074074073,1.0,0.3896296296296296,0.9807407407407407,0.37037037037037035,68.58783922012267,263.18685211665905,424.17298024546614,92,270,1350,1350,526,1324,500,26,0
400.0,-350.0,531.5072906367325,-41.18592516570965,0.36666666666666664,1.0,0.40370370370370373,0.9807407407407407,0.3844444444444444,61.41710505772586,246.6500889086457,395.66451382279604,99,270,1350,1350,545,1324,519,26,0
450.0,-350.0,570.087712549569,-37.874983651098205,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,54.87282260722074,231.0072332105787,368.39092915086417,108,270,1350,1350,585,1324,559,26,0
500.0,-350.0,610.3277807866851,-34.99202019855866,0.4185185185185185,1.0,0.4622222222222222,0.9807407407407407,0.44296296296296295,49.010522230978054,214.45152230003148,342.3206581596499,113,270,1350,1350,624,1324,598,26,0
550.0,-350.0,651.9202405202649,-32.47119229084849,0.4,1.0,0.46074074074074073,0.9807407407407407,0.4414814814814815,43.8501474027545,199.52905137688228,317.42412262948335,108,270,1350,1350,622,1324,596,26,0
600.0,-350.0,694.6221994724903,-30.256437163529263,0.36666666666666664,1.0,0.42444444444444446,0.9807407407407407,0.4051851851851852,43.973984061474866,184.93209719038742,293.6738203354659,99,270,1350,1350,573,1324,547,26,0
650.0,-350.0,738.24115301167,-28.30075576600638,0.34814814814814815,1.0,0.3962962962962963,0.9807407407407407,0.37703703703703706,46.576926901648676,171.72657443636612,271.04445577991373,94,270,1350,1350,535,1324,509,26,0
700.0,-350.0,782.6237921249264,-26.56505117707799,0.3,1.0,0.3459259259259259,0.9807407407407407,0.32666666666666666,49.23651609671785,157.7420332616851,249.5131280671349,81,270,1350,1350,467,1324,441,26,0
750.0,-350.0,827.6472678623425,-25.016893478100023,0.26666666666666666,1.0,0.3022222222222222,0.9807407407407407,0.28296296296296297,51.72091660690184,145.32815907106482,229.05959276415777,72,270,1350,1350,408,1324,382,26,0
350.0,-300.0,460.9772228646444,-40.60129464500447,0.3333333333333333,1.0,0.37333333333333335,0.9807407407407407,0.3540740740740741,74.85489779937363,303.22798351610453,516.6060372379425,90,270,1350,1350,504,1324,478,26,0
400.0,-300.0,500.0,-36.86989764584402,0.36666666666666664,1.0,0.4,0.9807407407407407,0.38074074074074077,66.33390570691012,283.01151535402596,480.28866136307886,99,270,1350,1350,540,1324,514,26,0
450.0,-300.0,540.8326913195984,-33.690067525979785,0.3962962962962963,1.0,0.4325925925925926,0.9807407407407407,0.41333333333333333,58.55568578593094,264.0341587713539,445.66614234012593,107,270,1350,1350,584,1324,558,26,0
500.0,-300.0,583.09518948453,-30.96375653207352,0.40370370370370373,1.0,0.45185185185185184,0.9807407407407407,0.4325925925925926,51.56134995346994,245.67907958679206,412.68225480788334,109,270,1350,1350,610,1324,584,26,0
550.0,-300.0,626.4982043070834,-28.61045966596522,0.36666666666666664,1.0,0.42592592592592593,0.9807407407407407,0.4066666666666667,45.405636439595675,227.70706593288193,381.2841696862285,99,270,1350,1350,575,1324,549,26,0
600.0,-300.0,670.820393249937,-26.56505117707799,0.35185185185185186,1.0,0.397037037037037,0.9807407407407407,0.37777777777777777,47.18282085484303,211.18124053310498,351.4224440463348,95,270,1350,1350,536,1324,510,26,0
650.0,-300.0,715.8910531638177,-24.77514056883192,0.32222222222222224,1.0,0.362962962962963,0.9807407407407407,0.3437037037037037,50.31331416181723,194.09641440339504,323.05106652029684,87,270,1350,1350,490,1324,464,26,0
700.0,-300.0,761.5773105863908,-23.19859051364819,0.26666666666666666,1.0,0.31037037037037035,0.9807407407407407,0.2911111111111111,52.91983413560861,178.401312284077,296.1275728348083,72,270,1350,1350,419,1324,393,26,0
750.0,-300.0,807.7747210701756,-21.80140948635181,0.23333333333333334,1.0,0.2859259259259259,0.9807407407407407,0.26666666666666666,55.71174086373698,163.50269579117185,270.61325221366604,63,270,1350,1350,386,1324,360,26,0
350.0,-250.0,430.11626335213134,-35.53767779197438,0.3333333333333333,1.0,0.36666666666666664,0.9807407407407407,0.3474074074074074,84.44868450479385,360.5537965614881,666.9578240675278,90,270,1350,1350,495,1324,469,26,0
400.0,-250.0,471.6990566028302,-32.005383208083494,0.362962962962963,1.0,0.39925925925925926,0.9807407407407407,0.38,74.0069238928352,337.34942996747475,617.2366625571843,98,270,1350,1350,539,1324,513,26,0
450.0,-250.0,514.78150704935,-29.054604099077146,0.37407407407407406,1.0,0.4192592592592593,0.9807407407407407,0.4,64.4624378569965,311.57218879371794,570.1176897101133,101,270,1350,1350,566,1324,540,26,0
500.0,-250.0,559.0169943749474,-26.56505117707799,0.36666666666666664,1.0,0.4162962962962963,0.9807407407407407,0.397037037037037,55.84039407001233,289.7608117012165,525.4851805851513,99,270,1350,1350,562,1324,536,26,0
550.0,-250.0,604.1522986797286,-24.443954780416536,0.3333333333333333,1.0,0.3851851851851852,0.9807407407407407,0.36592592592592593,49.07710776687141,269.1616912180881,483.2311031528717,90,270,1350,1350,520,1324,494,26,0
600.0,-250.0,650.0,-22.619864948040426,0.3111111111111111,1.0,0.3622222222222222,0.9807407407407407,0.34296296296296297,52.301751886774,247.4680834239626,443.25473138039104,84,270,1350,1350,489,1324,463,26,0
650.0,-250.0,696.419413859206,-21.037511025421818,0.2740740740740741,1.0,0.3162962962962963,0.9807407407407407,0.29703703703703704,55.1421274529534,227.38896045917355,405.46234947760684,74,270,1350,1350,427,1324,401,26,0
700.0,-250.0,743.3034373659252,-19.65382405805331,0.23333333333333334,1.0,0.27555555555555555,0.9807407407407407,0.2562962962962963,58.438159653913914,208.19678655420591,369.76705948006196,63,270,1350,1350,372,1324,346,26,0
750.0,-250.0,790.5694150420949,-18.43494882292201,0.2222222222222222,1.0,0.2637037037037037,0.9807407407407407,0.24444444444444444,61.483189787135984,188.7666631045072,336.0887122968997,60,270,1350,1350,356,1324,330,26,0
350.0,250.0,430.11626335213134,35.53767779197438,0.3333333333333333,1.0,0.36666666666666664,0.9807407407407407,0.3474074074074074,84.44868450479375,360.5537965614896,666.9578240675316,90,270,1350,1350,495,1324,469,26,0
