rank,x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count
1,550.0,-400.0,680.0735254367721,-36.02737338510361,0.43333333333333335,1.0,0.4792592592592593,0.9807407407407407,0.46,43.04384743401433,179.54391288429156,274.0025766721517,117,270,1350,1350,647,1324,621,26,0
2,550.0,400.0,680.0735254367721,36.02737338510361,0.43333333333333335,1.0,0.4792592592592593,0.9807407407407407,0.46,43.04384743401455,179.54391288429207,274.00257667215277,117,270,1350,1350,647,1324,621,26,0
3,550.0,-450.0,710.6335201775947,-39.28940686250036,0.43333333333333335,1.0,0.48,0.9807407407407407,0.46074074074074073,42.72249105864071,163.7962772631352,242.806520153634,117,270,1350,1350,648,1324,622,26,0
4,550.0,450.0,710.6335201775947,39.28940686250036,0.43333333333333335,1.0,0.48,0.9807407407407407,0.46074074074074073,42.72249105864058,163.7962772631343,242.80652015363265,117,270,1350,1350,648,1324,622,26,0
5,550.0,-500.0,743.3034373659252,-42.27368900609374,0.43333333333333335,1.0,0.4777777777777778,0.9807407407407407,0.4585185185185185,42.735756406843414,152.04869055727056,219.49607374106805,117,270,1350,1350,645,1324,619,26,0
6,550.0,500.0,743.3034373659252,42.27368900609374,0.43333333333333335,1.0,0.4777777777777778,0.9807407407407407,0.4585185185185185,42.73575640684345,152.04869055726988,219.49607374106628,117,270,1350,1350,645,1324,619,26,0
7,600.0,-450.0,750.0,-36.86989764584402,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,41.66715735812892,152.94090689591317,226.0623248349962,117,270,1350,1350,630,1324,604,26,0
8,600.0,450.0,750.0,36.86989764584402,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,41.66715735812909,152.9409068959138,226.06232483499753,117,270,1350,1350,630,1324,604,26,0
9,550.0,-550.0,777.8174593052023,-45.0,0.43333333333333335,1.0,0.47185185185185186,0.9807407407407407,0.4525925925925926,42.99240796781149,142.9748799362838,201.56227125687866,117,270,1350,1350,637,1324,611,26,0
10,550.0,550.0,777.8174593052023,45.0,0.43333333333333335,1.0,0.47185185185185186,0.9807407407407407,0.4525925925925926,42.99240796781139,142.97487993628334,201.5622712568795,117,270,1350,1350,637,1324,611,26,0
11,600.0,-500.0,781.0249675906655,-39.80557109226519,0.43333333333333335,1.0,0.47333333333333333,0.9807407407407407,0.4540740740740741,41.28509492330754,142.31165195493062,204.94231755376217,117,270,1350,1350,639,1324,613,26,0
12,600.0,500.0,781.0249675906655,39.80557109226519,0.43333333333333335,1.0,0.47333333333333333,0.9807407407407407,0.4540740740740741,41.285094923307796,142.31165195493014,204.9423175537615,117,270,1350,1350,639,1324,613,26,0
13,550.0,-600.0,813.9410298049853,-47.48955292199916,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,43.43396889064742,135.5611715719765,187.45389758802378,117,270,1350,1350,630,1324,604,26,0
14,600.0,-550.0,813.9410298049853,-42.510447078000844,0.43333333333333335,1.0,0.48,0.9807407407407407,0.46074074074074073,40.97534332736343,134.06930180872425,188.71060464137992,117,270,1350,1350,648,1324,622,26,0
15,600.0,550.0,813.9410298049853,42.510447078000844,0.43333333333333335,1.0,0.48,0.9807407407407407,0.46074074074074073,40.97534332736339,134.06930180872473,188.7106046413793,117,270,1350,1350,648,1324,622,26,0
16,550.0,600.0,813.9410298049853,47.48955292199916,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,43.433968890647684,135.56117157197733,187.45389758802312,117,270,1350,1350,630,1324,604,26,0
17,550.0,-650.0,851.46931829632,-49.76364169072618,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,44.02114358643667,129.2528110115854,176.16059619186373,117,270,1350,1350,630,1324,604,26,0
18,550.0,650.0,851.46931829632,49.76364169072618,0.43333333333333335,1.0,0.4666666666666667,0.9807407407407407,0.4474074074074074,44.02114358643691,129.252811011586,176.16059619186439,117,270,1350,1350,630,1324,604,26,0
19,500.0,-400.0,640.3124237432849,-38.65980825409009,0.42962962962962964,1.0,0.4659259259259259,0.9807407407407407,0.44666666666666666,47.496039225001525,192.361179576076,294.5783568302565,116,270,1350,1350,629,1324,603,26,0
20,500.0,400.0,640.3124237432849,38.65980825409009,0.42962962962962964,1.0,0.4659259259259259,0.9807407407407407,0.44666666666666666,47.496039225001525,192.36117957607692,294.5783568302549,116,270,1350,1350,629,1324,603,26,0
21,500.0,-450.0,672.6812023536855,-41.98721249581666,0.42962962962962964,1.0,0.4659259259259259,0.9807407407407407,0.44666666666666666,46.65033692377342,175.40129374764194,260.3057121057197,116,270,1350,1350,629,1324,603,26,0
22,500.0,450.0,672.6812023536855,41.98721249581666,0.42962962962962964,1.0,0.4659259259259259,0.9807407407407407,0.44666666666666666,46.650336923773374,175.40129374764064,260.3057121057206,116,270,1350,1350,629,1324,603,26,0
23,600.0,-600.0,848.5281374238571,-45.0,0.42962962962962964,1.0,0.4792592592592593,0.9807407407407407,0.46,41.22689537628291,127.19515646893775,175.96150053754764,116,270,1350,1350,647,1324,621,26,0
24,600.0,600.0,848.5281374238571,45.0,0.42962962962962964,1.0,0.4792592592592593,0.9807407407407407,0.46,41.22689537628309,127.19515646893807,175.96150053754698,116,270,1350,1350,647,1324,621,26,0
25,500.0,-500.0,707.1067811865476,-45.0,0.42592592592592593,1.0,0.4651851851851852,0.9807407407407407,0.44592592592592595,46.26224433480088,162.57901524063885,234.6947459861773,115,270,1350,1350,628,1324,602,26,0
